FIR_ID,Accused_ID
FIR009835,A01126
FIR005489,A00827
FIR005065,A00514
FIR005425,A00855
FIR006653,A01354
FIR004067,A00160
FIR002398,A01084
FIR002485,A00142
FIR004936,A00080
FIR001830,A01403
FIR006924,A00401
FIR000732,A01119
FIR008548,A00930
FIR008806,A00541
FIR008869,A01442
FIR008599,A01864
FIR006569,A01530
FIR006805,A01055
FIR009002,A00902
FIR009181,A00395
FIR004164,A00337
FIR004438,A01319
FIR000387,A00482
FIR001927,A01100
FIR005204,A00505
FIR003175,A01200
FIR009842,A00490
FIR004726,A00808
FIR005530,A00762
FIR000310,A01634
FIR004630,A01573
FIR003414,A00865
FIR003881,A00499
FIR009226,A01050
FIR006668,A00451
FIR007860,A01133
FIR000676,A00479
FIR002512,A01373
FIR009602,A01684
FIR002542,A01603
FIR008579,A00023
FIR006008,A01255
FIR003761,A01527
FIR007375,A01185
FIR008157,A01715
FIR001733,A00283
FIR009354,A01547
FIR001254,A00812
FIR003860,A00742
FIR006527,A01396
FIR003326,A00164
FIR009618,A00841
FIR001382,A01661
FIR001387,A00452
FIR000801,A00105
FIR009355,A00488
FIR007601,A01205
FIR004333,A01897
FIR003046,A00493
FIR009179,A00419
FIR009411,A01919
FIR005495,A00611
FIR009831,A00966
FIR006817,A01353
FIR008356,A00156
FIR004122,A01077
FIR007066,A01743
FIR008033,A01170
FIR006519,A01214
FIR001247,A00794
FIR000833,A00365
FIR000807,A00950
FIR007872,A01862
FIR006684,A00654
FIR003996,A00534
FIR003553,A00138
FIR001257,A01105
FIR005264,A00503
FIR006862,A00880
FIR008637,A01610
FIR007923,A01274
FIR004440,A01612
FIR003513,A01525
FIR006534,A00318
FIR007298,A00392
FIR004341,A00267
FIR004181,A01242
FIR002105,A00304
FIR004956,A00576
FIR001261,A01095
FIR002855,A00610
FIR004297,A01756
FIR007645,A00269
FIR005527,A01546
FIR005833,A00442
FIR009485,A00949
FIR001055,A01740
FIR005496,A01773
FIR002529,A00569
FIR008886,A01704
FIR006466,A00575
FIR004454,A00916
FIR008957,A01269
FIR006524,A00539
FIR004805,A01789
FIR005596,A01249
FIR002659,A01003
FIR003834,A01450
FIR009307,A01288
FIR004164,A01809
FIR004777,A01867
FIR006900,A00201
FIR007570,A00333
FIR008704,A01070
FIR001795,A01612
FIR008428,A01957
FIR006755,A00342
FIR007346,A00649
FIR009966,A01367
FIR008593,A00133
FIR005690,A00551
FIR001110,A01321
FIR007321,A01744
FIR008766,A01980
FIR008459,A00744
FIR009256,A00815
FIR002465,A01594
FIR006035,A00680
FIR000109,A01449
FIR006549,A00194
FIR008046,A01546
FIR003966,A01844
FIR009818,A00933
FIR003979,A00444
FIR003097,A01846
FIR002204,A01070
FIR000359,A01265
FIR002131,A00498
FIR007936,A00484
FIR007858,A00441
FIR006589,A00115
FIR008067,A01031
FIR002493,A00359
FIR009193,A01237
FIR002868,A00504
FIR001546,A00175
FIR003680,A01247
FIR003815,A00498
FIR004262,A01440
FIR007924,A01659
FIR005847,A01634
FIR007767,A00126
FIR002557,A01338
FIR004467,A01342
FIR002185,A00297
FIR005604,A00729
FIR002446,A01376
FIR009670,A01165
FIR004380,A01926
FIR002106,A00458
FIR002755,A01344
FIR009371,A01311
FIR000114,A00576
FIR007654,A00838
FIR005608,A00970
FIR003090,A00093
FIR002539,A01859
FIR000503,A01040
FIR006349,A01406
FIR007398,A00722
FIR006613,A01944
FIR005808,A01514
FIR000427,A00783
FIR008663,A01315
FIR002697,A00005
FIR006567,A01690
FIR002171,A00816
FIR006201,A01680
FIR000031,A01623
FIR001916,A00377
FIR007062,A01928
FIR007300,A00616
FIR004454,A01053
FIR009966,A00255
FIR007046,A00274
FIR004369,A01989
FIR003494,A00186
FIR006365,A00775
FIR003007,A01854
FIR007709,A01113
FIR006969,A01258
FIR005735,A01160
FIR002856,A00212
FIR001163,A01786
FIR007870,A00753
FIR007332,A00957
FIR007741,A01987
FIR001712,A01476
FIR007587,A00004
FIR009508,A00387
FIR002188,A00762
FIR008117,A00201
FIR000290,A00758
FIR004256,A01667
FIR007714,A01791
FIR003506,A00547
FIR000920,A01818
FIR008484,A00249
FIR000443,A01644
FIR003303,A00900
FIR006586,A00526
FIR001127,A00536
FIR000631,A01277
FIR008374,A01450
FIR000224,A00024
FIR005428,A01895
FIR007874,A01152
FIR002190,A01982
FIR008018,A01316
FIR005867,A01183
FIR002981,A01604
FIR006622,A00936
FIR009439,A00981
FIR002728,A00310
FIR001254,A00064
FIR009270,A01255
FIR006379,A00754
FIR005566,A01940
FIR003893,A00039
FIR009673,A01143
FIR000238,A01551
FIR007684,A01140
FIR000821,A01329
FIR005706,A01357
FIR000007,A00552
FIR009249,A01705
FIR000835,A01530
FIR008708,A01506
FIR007848,A00989
FIR008139,A00726
FIR004573,A01999
FIR004729,A01712
FIR003839,A00695
FIR008960,A00601
FIR008617,A00029
FIR004730,A01608
FIR006548,A00934
FIR009623,A01775
FIR001622,A00958
FIR004997,A00037
FIR009420,A00500
FIR002361,A01540
FIR005664,A00121
FIR007758,A01938
FIR000363,A00140
FIR001792,A01367
FIR009855,A01812
FIR005131,A00965
FIR001589,A01695
FIR006729,A00752
FIR000321,A01027
FIR005919,A01556
FIR005369,A00704
FIR002967,A00399
FIR009837,A00420
FIR000433,A00165
FIR008763,A01551
FIR000727,A01376
FIR007962,A01602
FIR008149,A01753
FIR005668,A01672
FIR000933,A00807
FIR006537,A01228
FIR005499,A00887
FIR003309,A00764
FIR006952,A00491
FIR000995,A00541
FIR003707,A00441
FIR003539,A01787
FIR003504,A01114
