FIR_ID,Victim_ID
FIR007927,V00993
FIR006998,V01476
FIR006158,V00225
FIR003972,V02996
FIR002578,V02502
FIR007964,V02511
FIR006605,V02297
FIR009083,V00871
FIR000169,V02259
FIR000269,V00582
FIR001227,V00316
FIR001769,V02437
FIR002510,V02133
FIR003235,V00302
FIR008163,V01942
FIR000260,V01463
FIR004196,V00458
FIR008457,V00521
FIR005105,V02722
FIR003855,V00187
FIR007113,V00359
FIR004174,V00467
FIR006799,V02381
FIR003330,V00752
FIR000218,V00657
FIR008736,V00635
FIR002250,V02011
FIR001384,V00523
FIR008803,V00641
FIR005609,V02838
FIR005094,V00244
FIR007700,V01904
FIR008705,V00851
FIR006792,V00473
FIR007311,V00790
FIR007851,V00074
FIR006407,V00957
FIR007944,V02025
FIR004945,V01297
FIR000097,V01284
FIR000796,V01838
FIR009344,V02282
FIR001110,V00081
FIR005848,V00769
FIR008589,V01312
FIR005220,V01639
FIR000207,V01708
FIR009277,V00435
FIR006945,V01681
FIR007961,V01558
FIR004819,V01722
FIR005782,V01470
FIR002854,V00940
FIR004251,V01509
FIR006576,V01145
FIR007073,V00503
FIR008494,V02907
FIR002554,V01338
FIR009771,V02048
FIR001236,V02938
FIR003199,V00657
FIR008614,V01066
FIR005883,V01592
FIR000677,V01236
FIR002490,V02233
FIR001155,V02997
FIR008987,V02814
FIR007020,V00055
FIR008571,V00133
FIR004600,V00343
FIR008768,V02789
FIR007617,V01465
FIR004011,V01338
FIR006593,V02879
FIR007893,V01572
FIR005906,V01355
FIR004164,V01727
FIR006234,V00040
FIR000159,V01898
FIR008984,V02443
FIR008283,V01154
FIR008109,V02208
FIR004492,V02005
FIR001292,V00345
FIR008132,V02567
FIR001496,V02290
FIR008840,V01044
FIR000447,V01208
FIR008497,V02424
FIR000877,V02985
FIR001335,V02459
FIR009075,V00923
FIR004227,V02628
FIR008035,V00615
FIR005488,V02350
FIR001642,V02500
FIR007644,V02034
FIR001556,V02769
FIR002669,V01818
FIR007994,V00007
FIR007618,V02218
FIR001518,V01054
FIR006024,V02685
FIR009200,V01635
FIR003548,V01131
FIR001892,V02962
FIR005464,V00073
FIR009833,V01265
FIR005265,V00352
FIR000793,V00338
FIR004958,V00130
FIR007772,V01805
FIR002351,V00398
FIR008191,V01184
FIR008009,V01867
FIR009422,V00717
FIR004394,V02753
FIR003636,V01236
FIR002454,V01817
FIR009231,V00682
FIR009425,V01135
FIR009330,V02574
FIR004260,V02824
FIR007284,V00901
FIR006948,V01925
FIR004079,V00617
FIR005818,V00943
FIR001912,V00143
FIR003537,V02871
FIR001539,V02521
FIR001367,V00453
FIR005042,V00526
FIR001989,V00098
FIR009279,V02783
FIR008096,V00245
FIR002388,V01411
FIR003641,V02634
FIR002442,V01142
FIR000882,V00369
FIR004635,V00517
FIR006009,V02225
FIR003185,V00349
FIR001302,V01761
FIR007633,V00794
FIR009593,V01824
FIR006052,V02279
FIR007819,V02801
FIR003886,V01335
FIR002623,V01090
FIR002282,V01970
FIR007173,V00033
FIR004955,V02517
FIR002943,V01326
FIR007179,V01882
FIR002177,V02134
FIR000434,V02073
FIR001977,V01148
FIR005253,V00721
FIR007495,V00990
FIR008260,V02541
FIR005817,V02188
FIR007643,V01559
FIR003086,V00242
FIR002803,V02291
FIR007655,V00858
FIR004374,V01789
FIR005194,V01123
FIR002824,V01227
FIR002840,V02258
FIR005460,V00690
FIR006171,V02373
FIR001667,V00576
FIR008326,V00793
FIR000026,V01593
FIR006846,V01780
FIR004455,V00924
FIR002314,V00664
FIR001996,V01501
FIR003106,V01271
FIR009468,V02888
FIR003935,V01638
FIR002597,V00135
FIR003792,V02037
FIR004073,V00412
FIR006065,V00647
FIR005019,V01806
FIR004448,V02717
FIR000718,V01148
FIR007830,V02289
FIR002410,V00008
FIR002917,V00974
FIR006960,V02123
FIR008650,V01279
FIR009149,V01838
FIR006896,V00430
FIR006929,V01171
FIR007511,V02940
FIR000311,V00267
FIR004373,V02222
FIR001133,V01077
FIR005786,V01105
FIR005772,V02016
FIR001491,V01584
FIR003691,V01257
FIR005439,V01184
FIR002384,V00537
FIR003610,V00245
FIR004902,V00135
FIR000184,V00137
FIR007497,V00002
FIR006648,V01197
FIR006488,V01221
FIR003519,V01884
FIR005202,V01138
FIR005332,V01888
FIR002224,V00271
FIR003695,V01259
FIR008868,V01743
FIR001705,V01434
FIR000472,V01422
FIR006939,V02702
FIR007234,V01912
FIR005287,V00829
FIR009781,V01970
FIR006136,V01508
FIR002680,V01429
FIR006011,V00507
FIR002501,V00941
FIR004352,V02841
FIR002796,V01655
FIR004286,V01961
FIR003661,V00105
FIR008957,V01988
FIR006940,V01775
FIR009956,V02872
FIR009830,V00587
FIR001706,V01350
FIR006488,V02795
FIR001046,V01487
FIR002070,V01058
FIR009379,V00860
FIR003849,V02470
FIR008815,V02122
FIR008358,V00639
FIR000141,V00212
FIR007750,V00832
FIR001258,V02817
FIR004961,V01296
FIR009180,V00617
FIR005189,V01600
FIR004167,V00086
FIR007189,V01146
FIR005106,V00234
FIR008139,V00927
FIR008002,V02427
FIR005000,V00160
FIR005405,V01620
FIR004897,V02027
FIR009245,V00741
FIR002235,V02943
FIR007743,V00199
FIR008850,V00613
FIR003305,V01129
FIR000502,V00399
FIR007825,V00105
FIR004132,V01986
FIR001372,V00818
FIR003123,V00901
FIR007962,V01002
FIR005654,V00957
FIR009777,V01196
FIR003454,V02791
FIR003987,V01123
FIR001247,V00889
FIR002288,V01288
FIR000374,V01471
FIR008563,V00394
FIR009877,V02361
FIR007864,V01762
FIR002071,V02116
FIR005151,V02912
FIR007302,V01862
FIR005065,V00956
FIR006562,V01562
FIR005039,V02725
FIR001788,V01387
FIR009184,V02211
FIR004125,V01995
FIR005898,V00727
FIR003579,V01169
FIR008208,V00555
FIR006535,V00102
FIR009838,V02502
FIR002973,V01652
FIR008590,V00932
FIR001223,V00459
FIR008307,V00891
FIR009901,V00538
FIR008232,V02395
FIR002438,V02272
FIR000104,V01381
FIR002853,V02026
FIR000788,V01499
FIR001155,V00762
FIR000552,V02996
FIR007677,V00098
FIR005668,V01915
FIR002617,V01211
FIR003332,V00576
FIR007395,V02899
FIR004584,V01000
FIR001798,V00865
FIR005107,V00820
FIR002399,V02362
FIR000038,V01581
FIR006040,V01221
FIR006650,V00218
FIR006780,V01364
FIR004124,V00643
FIR003550,V02960
FIR001271,V00433
FIR009584,V02127
FIR001407,V00277
FIR000803,V01638
FIR008389,V00889
FIR003715,V01085
FIR003262,V01494
FIR008299,V02084
FIR007769,V01116
FIR006260,V00662
FIR009073,V02143
FIR005452,V02138
FIR001942,V01092
FIR008529,V00326
FIR007311,V01133
FIR006595,V00659
FIR006158,V00423
FIR000881,V00234
FIR007823,V00907
FIR009689,V00707
FIR005362,V01886
FIR003526,V02482
FIR003723,V01953
FIR008932,V00490
FIR000191,V01500
FIR004366,V00984
FIR007399,V02735
FIR003586,V02717
FIR001930,V01300
FIR008242,V00788
FIR002810,V02829
FIR005212,V02127
FIR008618,V02181
FIR002988,V01959
FIR000065,V00355
FIR001283,V01150
FIR004391,V02044
FIR005433,V00717
FIR003015,V00393
FIR002647,V02875
FIR008268,V00303
FIR002624,V01137
FIR004311,V01326
FIR004674,V00399
FIR003437,V02395
FIR004038,V00564
FIR008430,V00401
FIR007154,V00499
FIR005707,V01588
FIR003632,V00993
FIR004613,V00300
FIR001648,V01052
FIR007371,V00060
FIR000171,V01878
FIR000526,V02370
FIR003087,V00056
FIR004713,V02585
FIR004743,V00787
FIR004828,V02385
FIR009079,V00257
FIR005866,V01894
FIR008692,V02837
FIR007208,V01003
FIR007126,V00391
FIR008335,V00699
FIR006441,V02557
FIR005748,V02392
FIR009283,V01953
FIR006786,V02923
FIR007973,V00613
FIR007068,V01569
FIR003903,V00291
FIR006529,V02750
FIR003204,V01078
FIR009582,V00646
FIR001623,V01019
FIR000167,V01403
FIR000048,V01745
FIR009918,V00061
FIR009185,V02106
FIR009464,V01633
FIR004256,V01963
FIR004975,V02417
FIR004249,V01032
FIR008638,V02408
FIR003681,V01878
FIR007752,V02116
FIR003255,V01498
FIR008291,V00082
FIR000322,V01131
FIR000582,V02333
FIR002098,V01476
FIR009530,V02839
FIR007390,V00405
FIR005682,V02737
FIR009500,V02555
FIR003477,V00937
FIR000780,V01030
FIR003417,V02380
FIR001685,V01490
FIR007177,V01378
FIR004552,V00396
FIR006196,V00613
FIR006152,V00315
FIR009867,V01637
FIR009653,V00533
FIR009578,V00892
FIR009014,V02345
FIR002511,V02363
FIR008631,V02661
FIR003955,V01146
FIR005080,V01885
FIR004822,V00494
FIR004526,V00739
FIR005577,V02510
FIR005366,V00955
FIR009149,V01978
FIR008503,V01608
FIR001072,V01299
FIR002720,V01472
FIR008161,V00488
FIR007700,V02887
FIR003906,V00919
FIR003561,V01107
FIR005924,V02348
FIR006906,V00997
FIR003638,V02205
FIR005919,V01556
FIR005655,V00100
FIR008602,V00993
FIR000808,V00793
FIR009821,V02995
FIR000765,V00684
FIR005348,V00742
FIR005019,V01759
FIR009833,V01699
FIR005857,V02845
FIR003168,V02264
FIR002409,V02455
FIR000412,V01400
FIR005900,V02978
FIR002550,V01208
FIR007144,V00826
FIR007860,V00308
FIR001312,V02821
FIR007958,V02350
FIR001198,V02618
FIR005846,V00837
FIR001999,V01549
FIR006458,V00554
FIR002059,V00329
FIR009475,V01492
FIR007953,V02872
FIR009141,V00592
FIR005022,V00113
FIR004593,V01438
FIR008532,V00241
FIR009437,V00345
FIR009029,V01359
FIR008248,V02007
FIR004690,V02651
FIR007348,V01332
FIR005306,V01777
FIR004847,V02741
FIR006732,V00854
FIR008813,V00675
FIR006623,V01279
FIR005054,V01089
FIR004383,V01299
FIR005819,V00246
FIR002594,V02203
FIR002041,V00964
FIR004650,V01948
FIR003662,V01836
FIR009953,V01450
FIR003600,V02658
FIR003912,V02007
FIR005784,V02366
FIR000503,V01231
FIR007794,V01835
FIR005326,V02970
FIR008410,V02482
FIR000747,V02405
FIR001509,V02303
FIR007770,V02714
FIR001181,V00398
FIR009523,V01439
FIR001886,V01335
FIR005065,V01814
FIR000397,V02530
FIR003517,V01785
FIR000215,V02552
FIR001200,V01917
FIR003725,V00966
FIR009233,V02325
FIR007087,V02374
FIR004724,V01645
FIR003445,V02334
FIR004282,V01127
FIR006633,V01957
FIR000316,V01651
FIR002295,V02075
FIR003314,V02801
FIR002882,V00526
FIR007378,V01826
FIR004914,V01413
FIR001146,V00389
FIR003522,V02244
FIR007274,V02545
FIR008338,V00768
FIR007103,V01317
FIR004086,V02420
FIR000528,V00223
FIR002937,V00991
FIR009345,V01867
FIR001404,V01343
FIR006323,V02462
FIR002990,V00949
FIR006497,V00869
FIR000455,V00978
FIR005193,V00180
FIR005706,V01872
FIR000470,V01746
FIR002418,V02622
FIR000426,V01762
FIR004225,V00015
FIR001559,V01592
FIR009681,V01157
FIR000801,V01176
FIR008916,V02844
FIR009167,V00555
FIR000453,V02674
FIR009625,V01699
FIR002962,V01934
FIR001955,V01911
FIR001629,V01377
FIR002167,V01378
FIR002746,V00396
FIR003296,V02529
FIR002720,V01155
FIR003725,V00660
FIR001707,V02514
FIR006809,V01105
FIR001923,V00320
FIR001333,V02865
FIR002573,V02316
FIR009971,V02309
FIR002111,V00724
FIR000611,V00180
FIR005384,V02840
FIR008929,V00871
FIR005135,V02151
FIR003981,V01831
FIR005890,V02871
FIR008895,V01266
FIR006304,V02767
FIR000813,V02575
FIR004965,V01849
FIR008632,V00769
FIR008814,V01910
FIR009026,V00237
FIR007783,V00929
FIR001410,V02105
FIR009419,V01970
FIR005326,V02333
FIR006939,V00825
FIR002872,V00673
FIR001181,V00802
FIR002260,V00425
FIR009803,V00791
FIR000241,V02598
FIR000944,V01538
FIR007421,V01350
FIR004613,V00910
FIR001302,V00263
FIR005331,V00795
FIR005246,V00044
FIR000244,V02137
FIR008900,V01356
FIR000878,V02273
FIR004621,V01031
FIR001388,V00012
FIR001406,V01892
FIR003168,V01959
FIR006963,V01502
FIR007456,V00760
FIR009518,V02355
FIR007720,V02772
FIR001609,V02015
FIR009682,V00937
FIR006098,V00968
FIR002508,V01935
FIR003279,V01961
FIR006060,V01101
FIR005913,V01975
FIR006608,V00853
FIR002469,V01010
FIR009989,V01601
FIR000357,V00728
FIR005744,V00177
FIR002140,V02234
FIR006547,V00583
FIR001201,V02750
FIR005101,V00323
FIR003477,V00083
FIR007980,V00767
FIR006028,V01556
FIR006000,V02607
FIR000925,V00377
FIR003832,V00766
FIR000366,V00105
FIR000121,V00449
FIR008106,V02178
FIR005226,V00074
FIR009705,V02479
FIR002880,V01840
FIR004838,V00834
FIR009928,V02752
FIR001667,V02849
FIR003027,V01431
FIR007213,V02200
FIR009956,V02586
FIR005595,V01712
FIR008917,V02777
FIR002098,V01906
FIR006830,V02683
FIR000072,V01234
FIR001584,V00197
FIR002488,V01771
FIR006098,V00448
FIR008325,V02862
FIR006308,V02088
FIR006929,V00971
FIR008508,V01141
FIR004161,V00782
FIR003210,V00016
FIR009467,V00391
FIR003770,V00080
FIR003329,V01869
FIR003900,V00378
FIR004129,V02251
FIR009103,V00483
FIR000029,V02462
FIR005007,V00117
FIR005604,V01635
FIR004054,V00071
FIR009374,V02328
FIR006918,V01029
FIR006057,V00447
FIR006995,V01769
FIR008529,V00521
FIR004039,V01067
FIR007365,V01588
FIR005586,V01303
FIR002578,V01378
FIR003172,V02768
FIR006677,V00014
FIR004144,V00246
FIR001599,V01391
FIR002582,V00531
FIR006079,V01434
FIR003693,V01036
FIR002055,V01852
FIR004730,V02279
FIR009589,V00403
FIR004401,V00660
FIR006826,V00953
FIR002653,V02611
FIR003319,V02030
FIR007584,V01930
FIR008678,V00690
FIR001901,V02423
FIR007776,V01491
FIR000548,V01375
FIR002843,V00359
FIR006567,V02617
FIR007643,V00106
FIR000892,V01359
FIR000326,V00302
FIR005425,V01385
FIR006524,V00946
FIR000863,V01314
FIR000065,V00704
FIR007918,V01282
FIR006427,V01416
FIR001385,V00925
FIR006315,V02946
FIR001239,V02947
FIR001858,V02873
FIR008724,V00346
FIR008370,V01588
FIR006816,V01992
FIR005395,V00861
FIR000995,V02948
FIR005501,V00421
FIR004605,V00123
FIR009835,V00705
FIR003812,V01951
FIR007307,V01980
FIR000614,V00444
FIR004312,V00178
FIR007685,V00669
FIR001977,V01859
FIR009693,V02120
FIR005401,V01995
FIR009917,V02087
FIR008144,V01796
FIR005927,V01933
FIR002692,V02093
FIR005914,V02098
FIR004827,V00142
FIR002021,V00931
FIR000864,V01877
FIR006976,V00455
FIR006838,V02945
FIR002052,V00705
FIR002018,V01133
FIR004602,V00370
FIR003186,V02681
FIR001522,V02247
FIR003041,V01086
FIR007506,V02671
FIR008111,V01884
FIR006754,V02354
FIR006732,V02482
FIR008551,V01656
FIR009907,V01551
FIR003824,V01759
FIR000517,V01272
FIR003639,V02393
FIR000036,V02738
FIR003219,V00080
FIR005868,V02856
FIR001222,V00854
FIR007516,V00721
FIR002430,V00116
FIR007169,V02913
FIR000662,V02583
FIR000389,V01533
FIR005881,V02485
FIR007312,V02785
FIR007879,V02214
FIR001078,V02211
FIR000618,V00060
FIR006192,V01336
FIR004548,V01845
FIR001720,V00579
FIR005873,V01903
FIR009848,V02400
FIR001742,V00139
FIR001430,V00345
FIR001959,V02060
FIR009221,V01850
FIR009876,V00451
FIR008638,V02276
FIR004087,V01705
FIR002041,V01768
FIR007744,V00130
FIR004030,V02972
FIR005098,V01333
FIR007830,V01380
FIR003642,V01856
FIR003403,V00521
FIR009054,V00405
FIR003680,V02791
FIR008940,V01982
FIR002758,V00604
FIR008531,V02541
FIR003728,V01708
FIR008194,V00232
